"Code","ActiveIngredients","Size","Price"
"A1","Anastrozole 1<U+202F>mg","28",NA
"A2","Anastrozole 1<U+202F>mg","28",NA
"A3","Anastrozole 1<U+202F>mg","28",NA
"A4","Anastrozole 1<U+202F>mg","28",NA
"A5","Anastrozole 1<U+202F>mg","28",NA
"A6","Anastrozole 1<U+202F>mg","28",NA
"A7","Anastrozole 1<U+202F>mg","28",NA
"A8","Anastrozole 1<U+202F>mg","28",NA
"A9","Anastrozole 1<U+202F>mg","28",NA
"A10","Anastrozole 1<U+202F>mg","28",NA
"A11","Anastrozole 1<U+202F>mg","28",NA
"A12","Anastrozole 1<U+202F>mg","28",NA
"A13","Anastrozole 1<U+202F>mg","28",NA
"A14","Anastrozole 1<U+202F>mg","28",NA
"A15","Anastrozole 1<U+202F>mg","28",NA
"A16","Anastrozole 1<U+202F>mg","28",NA
"A17","Abacavir (as Abacavir sulfate) 300<U+202F>mg","60",NA
"A18","Abacavir (as Abacavir sulfate) 300<U+202F>mg","60",NA
"A19","Abacavir (as Abacavir sulfate) 300<U+202F>mg","60",NA
"A20","Abacavir (as Abacavir sulfate) 20<U+202F>mg per 1<U+202F>ml","240",NA
"A21","Abacavir (as Abacavir sulfate) 600<U+202F>mg","30",NA
"A22","Dolutegravir (as Dolutegravir sodium) 50<U+202F>mg","30",NA
"A23","Lamivudine 300<U+202F>mg","30",NA
"A24","Lamivudine 300<U+202F>mg","30",NA
"A25","Abacavir 600<U+202F>mg","30",NA
"A26","Lamivudine 300<U+202F>mg","30",NA
"A27","Abacavir 600<U+202F>mg","30",NA
"A28","Lamivudine 300<U+202F>mg","30",NA
"A29","Abacavir 600<U+202F>mg","30",NA
"A30","Lamivudine 300<U+202F>mg","30",NA
"A31","Abacavir 600<U+202F>mg","30",NA
"A32","Lamivudine 300<U+202F>mg","30",NA
"A33","Abacavir 600<U+202F>mg","30",NA
"A34","Lamivudine 300<U+202F>mg","30",NA
"A35","Abacavir 600<U+202F>mg","30",NA
"A36","Lamivudine 300<U+202F>mg","30",NA
"A37","Abacavir 600<U+202F>mg","30",NA
"A38","Lamivudine 300<U+202F>mg","30",NA
"A39","Abacavir 600<U+202F>mg","30",NA
"A40","Lamivudine 150<U+202F>mg","60",NA
"A41","Abacavir (as Abacavir sulfate) 300<U+202F>mg","60",NA
"A42","Zidovudine 300<U+202F>mg","60",NA
"A43","Abatacept 125<U+202F>mg per 1<U+202F>ml","4",NA
"A44","Abatacept 125<U+202F>mg per 1<U+202F>ml","4",NA
"A45","Abatacept 125<U+202F>mg per 1<U+202F>ml","4",NA
"A46","Abatacept 125<U+202F>mg per 1<U+202F>ml","4",NA
"A47","Abatacept 250<U+202F>mg","1",NA
"A48","Abemaciclib 50<U+202F>mg","28",NA
"A49","Abemaciclib 100<U+202F>mg","56",NA
"A50","Abemaciclib 150<U+202F>mg","28",NA
"A51","Abemaciclib 50<U+202F>mg","56",NA
"A52","Abemaciclib 100<U+202F>mg","28",NA
"A53","Abemaciclib 150<U+202F>mg","56",NA
"A54","Abiraterone acetate 500<U+202F>mg","56",NA
"A55","Acamprosate calcium 333<U+202F>mg","168",NA
"A56","Acamprosate calcium 333<U+202F>mg","168",NA
"A57","Acamprosate calcium 333<U+202F>mg","168",NA
"A58","Acamprosate calcium 333<U+202F>mg","168",NA
"A59","Acamprosate calcium 333<U+202F>mg","168",NA
"A60","Acamprosate calcium 333<U+202F>mg","168",NA
"A61","Acarbose 50<U+202F>mg","90",NA
"A62","Acarbose 50<U+202F>mg","90",NA
"A63","Acarbose 50<U+202F>mg","90",NA
"A64","Acarbose 50<U+202F>mg","90",NA
"A65","Acarbose 50<U+202F>mg","90",NA
"A66","Acarbose 50<U+202F>mg","90",NA
"A67","Acarbose 100<U+202F>mg","90",NA
"A68","Acarbose 100<U+202F>mg","90",NA
"A69","Acarbose 100<U+202F>mg","90",NA
"A70","Acarbose 100<U+202F>mg","90",NA
"A71","Acarbose 100<U+202F>mg","90",NA
"A72","Acarbose 100<U+202F>mg","90",NA
"A73","Acebutolol (as Acebutolol hydrochloride) 400<U+202F>mg","28",NA
"A74","Acebutolol (as Acebutolol hydrochloride) 100<U+202F>mg","84",NA
"A75","Acebutolol (as Acebutolol hydrochloride) 200<U+202F>mg","56",NA
"A76","Aceclofenac 100<U+202F>mg","60",NA
"A77","Aceclofenac 100<U+202F>mg","60",NA
"A78","Aceclofenac 100<U+202F>mg","60",NA
"A79","Aceclofenac 100<U+202F>mg","60",NA
"A80","Aceclofenac 100<U+202F>mg","60",NA
"A81","Aceclofenac 100<U+202F>mg","60",NA
"A82","Aceclofenac 100<U+202F>mg","60",NA
"A83","Aceclofenac 100<U+202F>mg","60",NA
"A84","Acenocoumarol 1<U+202F>mg","100",NA
"A85","Acetazolamide 250<U+202F>mg","112",NA
"A86","Acetazolamide 250<U+202F>mg","112",NA
"A87","Acetazolamide 250<U+202F>mg","112",NA
"A88","Acetazolamide 250<U+202F>mg","112",NA
"A89","Acetazolamide 250<U+202F>mg","112",NA
"A90","Acetazolamide 250<U+202F>mg","112",NA
"A91","Acetazolamide 250<U+202F>mg","112",NA
"A92","Acetazolamide 250<U+202F>mg","112",NA
"A93","Acetazolamide 250<U+202F>mg","112",NA
"A94","Acetazolamide 250<U+202F>mg","112",NA
"A95","Acetazolamide 250<U+202F>mg","112",NA
"A96","Acetazolamide 250<U+202F>mg","30",NA
"A97","Acetazolamide 250<U+202F>mg","30",NA
"A98","Acetazolamide 500<U+202F>mg","1",NA
"A99","Acetylcholine chloride 20<U+202F>mg","1",NA
"A100","Acetylcholine chloride 20<U+202F>mg","6",NA
"A101","Acetylcysteine 600<U+202F>mg","20",NA
"A102","Acetylcysteine 600<U+202F>mg","30",NA
"A103","Acetylcysteine 600<U+202F>mg","30",NA
"A104","Acetylcysteine 600<U+202F>mg","20",NA
"A105","Acetylcysteine 600<U+202F>mg","20",NA
"A106","Acetylcysteine 600<U+202F>mg","30",NA
"A107","Acetylcysteine 600<U+202F>mg","20",NA
"A108","Acetylcysteine 200<U+202F>mg per 1<U+202F>ml","10",NA
"A109","Acetylcysteine 200<U+202F>mg per 1<U+202F>ml","10",NA
"A110","Acetylcysteine 200<U+202F>mg per 1<U+202F>ml","10",NA
"A111","Acetylcysteine 50<U+202F>mg per 1<U+202F>ml","10",NA
"A112","Aciclovir 200<U+202F>mg","25",NA
"A113","Aciclovir 200<U+202F>mg","25",NA
"A114","Aciclovir 200<U+202F>mg","25",NA
"A115","Aciclovir 200<U+202F>mg","25",NA
"A116","Aciclovir 200<U+202F>mg","25",NA
"A117","Aciclovir 200<U+202F>mg","25",NA
"A118","Aciclovir 200<U+202F>mg","25",NA
"A119","Aciclovir 400<U+202F>mg","56",NA
"A120","Aciclovir 400<U+202F>mg","56",NA
"A121","Aciclovir 400<U+202F>mg","56",NA
"A122","Aciclovir 400<U+202F>mg","56",NA
"A123","Aciclovir 400<U+202F>mg","56",NA
"A124","Aciclovir 400<U+202F>mg","56",NA
"A125","Aciclovir 400<U+202F>mg","56",NA
"A126","Aciclovir 800<U+202F>mg","35",NA
"A127","Aciclovir 800<U+202F>mg","35",NA
"A128","Aciclovir 800<U+202F>mg","35",NA
"A129","Aciclovir 800<U+202F>mg","35",NA
"A130","Aciclovir 800<U+202F>mg","35",NA
"A131","Aciclovir 800<U+202F>mg","35",NA
"A132","Aciclovir 800<U+202F>mg","35",NA
"A133","Aciclovir 200<U+202F>mg","25",NA
"A134","Aciclovir 200<U+202F>mg","25",NA
"A135","Aciclovir 200<U+202F>mg","25",NA
"A136","Aciclovir 200<U+202F>mg","25",NA
"A137","Aciclovir 200<U+202F>mg","25",NA
"A138","Aciclovir 200<U+202F>mg","25",NA
"A139","Aciclovir 200<U+202F>mg","25",NA
"A140","Aciclovir 400<U+202F>mg","56",NA
"A141","Aciclovir 400<U+202F>mg","56",NA
"A142","Aciclovir 400<U+202F>mg","56",NA
"A143","Aciclovir 400<U+202F>mg","56",NA
"A144","Aciclovir 400<U+202F>mg","56",NA
"A145","Aciclovir 400<U+202F>mg","56",NA
"A146","Aciclovir 800<U+202F>mg","35",NA
"A147","Aciclovir 800<U+202F>mg","35",NA
"A148","Aciclovir 800<U+202F>mg","35",NA
"A149","Aciclovir 800<U+202F>mg","35",NA
"A150","Aciclovir 800<U+202F>mg","35",NA
"A151","Aciclovir 800<U+202F>mg","35",NA
"A152","Aciclovir 800<U+202F>mg","35",NA
"A153","Aciclovir 40<U+202F>mg per 1<U+202F>ml","125",NA
